baseload,ev,fridge,hair_dryer,pc,pv,resistive,synchronous,washing_machine,laptop,stand_cooler,table_fan,table_pv,hour
0.14368296,-0.06179729,0.07863208,-0.101574436,-0.12510559,-0.05755992,-0.07891028,0.08215212,0.022578187,59.838387,7.168725,0.7513845,-1.0079297,0.24583333333333332
0.027927272,-0.1356704,0.053726688,-0.04129696,0.07928606,0.04265627,-0.1331232,-0.046925522,0.010091752,62.636242,27.91451,9.794021,0.5873947,0.24722222222222223
-0.06770338,-0.05250533,0.012112245,0.005653672,-0.018457852,-0.028119091,-0.084733926,-0.15939063,-0.010574691,63.041992,29.702085,16.036865,-0.064618394,0.24861111111111112
-0.06721015,-0.067109466,-0.013708189,-0.006176628,0.016100444,-0.00422458,-0.06593272,-0.08629917,-0.0039817486,62.693398,29.683588,15.992197,-0.29034844,0.25
-0.032361656,0.018321134,0.035741843,0.0014917478,-0.04141832,0.019246016,-0.04480859,-0.059744574,0.03213345,60.53818,28.271994,15.813759,-0.84012973,0.2513888888888889
-0.03166966,0.017695427,0.0444855,-0.042310074,-0.077887215,-0.009547699,-0.05497229,-0.111102454,0.026749562,60.231743,28.011509,16.089764,-0.8967732,0.25277777777777777
-0.031274974,0.005311534,0.04549552,-0.014597431,-0.03306114,0.0012728982,-0.029566035,-0.057185166,0.031336397,60.60372,28.353697,15.752646,-0.8270526,0.25416666666666665
-0.07935169,0.011944093,0.06642628,-0.060929507,-0.0857125,0.014664829,-0.074030414,-0.023781076,0.03489597,60.52236,28.139072,16.042759,-1.18246,0.25555555555555554
-0.04459414,0.015487321,0.039087582,-0.008593805,-0.016220331,0.04413405,-0.066225596,-0.07936602,0.04458587,60.13615,28.306038,16.035894,-1.1134686,0.2569444444444444
-0.15190116,0.15694258,-0.2683282,0.010984413,-0.22499925,0.33772483,-0.034130648,-0.0041733906,-0.108989574,26.704384,5.308697,6.61467,-1.5235312,0.25833333333333336
-0.16510993,0.14556871,0.15964584,0.051144905,-0.121132575,0.2576137,0.32783222,0.15408167,-0.04693637,1.1389184,10.320175,7.562915,-1.91115,0.25972222222222224
0.0054534823,-0.093564525,0.053280033,0.02107744,0.021382883,-0.027358878,0.015526831,0.013947818,-0.03350617,22.705051,27.783705,15.065786,-1.2973274,0.2611111111111111
-0.024347574,-0.0030228198,0.023933962,-0.0025527626,-0.019315176,0.02316409,-0.000895977,0.0869621,-0.05572886,34.853535,27.550919,15.057414,-1.1922853,0.2625
